Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_296.wav",這蕊花媠過任何的花草。,Tsit luí hue suí-kuè jīm-hô ê hue-tsháu.,,
"Oct 27, 2018 1_297.wav",這位小姐媠過任何人。,Tsit uī sió-tsiá suí-kuè jīm-hô-lâng.,,
"Oct 27, 2018 1_298.wav",一座山懸過一座山。,Tsi̍t tsō suann kuân-kuè tsi̍t tsō suann.,,
"Oct 27, 2018 1_299.wav",我躼伊差不多兩公分。,Guá lò i tsha-put-to nn̄g kong-hun.,,
"Oct 27, 2018 1_300.wav",大姊加我無幾歲。,Tuā-tsé ke guá bô kuí huè.,,
"Oct 27, 2018 1_301.wav",伊減以早一屑仔爾爾。,I kiám í-tsá tsi̍t-sut-á niā-niā.,,
"Oct 27, 2018 1_302.wav",我開的錢佮阿姊平濟。,Guá khai ê tsînn kah a-tsé pênn tsē.,,
"Oct 27, 2018 1_303.wav",你頭殼有伊遐爾好就好。,Lí thâu-khak ū i hiah-nī-hó tō hó.,,
"Oct 27, 2018 1_304.wav",你有伊的頭殼遐爾精光就好。,Lí ū i ê thâu-khak hiah-nī tsing-kong tō hó.,,
"Oct 27, 2018 1_305.wav",伊比啥人（siáng）攏緊張。,I pí siáng lóng kín-tiunn.,,
"Oct 27, 2018 1_306.wav",伊比啥人攏貧惰。,I pí siánn-lâng lóng pîn-tuānn.,,
"Oct 27, 2018 1_307.wav",你看你（lí#），人比你gâu講話，嘛小綴人學一下。,"Lí khuànn lí#, lâng pí lí gâu kóng-uē, mā sió tuè lâng o̍h--tsi̍t-ē.",,
"Oct 27, 2018 1_308.wav",阿安比阿發加蓋儉。,A-an pí A-huat ke kài khiām.,,
"Oct 27, 2018 1_309.wav",阿秀仔比阿嬌姨加真媠。,A-siù--á pí A-kiau-î ke tsin suí.,,
"Oct 27, 2018 1_310.wav",阿發加比阿成兩光濟囉。,A-huat ke pí a-sîng lióng-kong tsē--looh.,,
"Oct 27, 2018 1_311.wav",這齣戲較無頭先的彼齣遐悲傷。,Tsit tshut hì khah bô thâu-sing ê hit tshut hiah pi-siong.,,
"Oct 27, 2018 1_312.wav",伊離緣了後比離緣進前加偌樂暢。,I lī-iân liáu-āu pí lī-iân tsìn-tsîng ke guā lo̍k-thiòng.,,
"Oct 27, 2018 1_313.wav",佮彼站比，這陣日子加偌（luā）幸福咧。,"Kah hit-tsām pí, tsit-tsūn ji̍t-tsí ke luā hīng-hok--leh.",,
"Oct 27, 2018 1_314.wav",阿好加阿財2公斤重爾爾。,A-hó ke A-tsâi nn̄g kong-kin tāng niā-niā.,,
"Oct 27, 2018 1_315.wav",今仔日較袂寒。,Kin-á-ji̍t khah bē kuânn.,,
"Oct 27, 2018 1_316.wav",明仔載變閣較熱。,Bîn-á-tsài piàn koh-khah jua̍h.,,
"Oct 27, 2018 1_317.wav",今年較慢寒。,Kin-nî kah bān kuânn.,,
"Oct 27, 2018 1_318.wav",舊年寒較久。,Kū-nî kuânn khah kú.,,
"Oct 27, 2018 1_319.wav",查某比查埔加四倍。,Tsa-bóo pí ta-poo ke sì puē.,,
"Oct 27, 2018 1_320.wav",賣的比買的加一半。,Bē--ê pí bé--ê ke tsi̍t-puànn.,,
"Oct 27, 2018 1_321.wav",老歲仔贊聲的比少年人減六十七phann。,Lāu-huè-á tsàn-siann--ê pí siàu-liân-lâng kiám la̍k-tsa̍p-tshit phann.,,
"Oct 27, 2018 1_322.wav",老歲仔贊聲的比少年人減六十七pha。,Lāu-huè-á tsàn-siann--ê pí siàu-liân-lâng kiám la̍k-tsa̍p-tshit pha.,,
"Oct 27, 2018 1_323.wav",趁的公司比了的公司減一成。,Thàn ê kong-si pí liáu ê kong-si kiám tsi̍t siânn.,,
