Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,大大蕊的目睭沓沓仔擘金，,"Tuā-tuā luí ê ba̍k-tsiu ta̍uh-ta̍uh-á peh-kim,"
,卻看無這个花花世界一屑屑仔畫面。,khiok khuànn bô tsit ê hua-hua-sè-kài tsi̍t-sut-sut-á uē-bīn.
,偌濟年囉？,Guā-tsē nî --looh?
,阿福嬸猶會記得視力對致著青光眼的目睭內偷偷仔旋走彼頭兩年，,"A-hok-tsím iáu ē-kì-tit sī-li̍k uì tì-tio̍h tshenn-kong-gán ê ba̍k-tsiu-lāi thau-thau-á suan tsáu hit thâu nn̄g nî,"
,不時頭疼、欲吐、烏暗眩，,"put-sî thâu thiànn, beh thòo, oo-àm-hîn,"
,磕袂著就起性地，,"kha̍p bē tio̍h tō khí-sìng-tē,"
,四常鬧甲全家雞犬不寧；,sù-siông nāu kah tsuân-ke ke-khián-put-lîng;
,毋管看過偌濟醫生、試過啥物祕方，,"m̄-kuán khuànn-kuè guā-tsē i-sing, tshì-kuè siánn-mih pì-hng,"
,甚至四界求神問佛，,"sīm-tsì sì-kè kiû-sîn-mn̄g-pu̍t,"
,猶是無法度挽回視力愈離愈遠的跤步。,iáu sī bô-huat-tōo bán-huê sī-li̍k jú lī jú hn̄g ê kha-pōo.
,金金看著本底就已經有夠狹的這一角仔天地漸漸收縮、變霧、變形，,"Kim-kim khuànn-tio̍h pún-té tō í-king ū-kàu e̍h ê tsit tsi̍t-kak-á thinn-tē tsiām-tsiām siu-sok, piàn bū, piàn-hîng,"
,彼當時的阿福嬸根本毋知影這款日子是欲按怎過落去？,hit-tong-sî ê A-hok-tsím kin-pún m̄ tsai-iánn tsit khuán ji̍t-tsí sī beh án-tsuánn kuè --lo̍h-khì?
,就親像彼時陣仝款毋知，,"Tō tshin-tshiūnn hit-sî-tsūn kāng-khuán m̄ tsai,"
,該當如何才袂予流無停睏的悲傷珠淚淹死。,kai-tong jû-hô tsiah bē hōo lâu bô thîng-khùn ê pi-siong tsu-luī im --sí.
,不而過，,"Put-jî-kò,"
,日子就按呢一工過過一工，,"ji̍t-tsí tsiū-án-ne tsi̍t kang kuè kuè tsi̍t kang,"
,如今，,"jû-kim,"
,由一點仔色水深淺抑是光線形影的差別，,"iû tsi̍t-tiám-á sik-tsuí tshim-tshián ia̍h-sī kng-suànn hîng-iánn ê tsha-pia̍t,"
,就有辦法分辨日夜明暗以及四周圍動靜的變化；,tō ū pān-huat hun-piān ji̍t-iā bîng-àm í-ki̍p sì-tsiu-uî tōng-tsīng ê piàn-huà;
,或者是怙一雙手，,"hi̍k-tsiá sī kōo tsi̍t siang tshiú,"
,嘛有才調摸清楚烏暗世界的面目，,"mā ū tsâi-tiāu bong tshing-tshó oo-àm sè-kài ê bīn-bo̍k,"
,和青盲人日常生活的程序。,hām tshenn-mê-lâng ji̍t-siông sing-ua̍h ê thîng-sū.
,阿福嬸有時仔想起彼當陣袂輸天欲崩矣的見笑模樣，,"A-hok-tsím ū-sî-á siūnn-khí hit-tang-tsūn bē-su thinn beh pang --ah ê kiàn-siàu bôo-iūnn,"
,家己攏感覺足歹勢。,ka-kī lóng kám-kak tsiok pháinn-sè.
,只是，,"Tsí-sī,"
,目屎早就已經流焦，,"ba̍k-sái tsá tō í-king lâu-ta,"
,猶原peh袂出彼口哀傷的鼓井。,iu-guân peh bē tshut hit kháu ai-siong ê kóo-tsénn.
,翻過身，,"Huan-kuè sin,"
,枕頭邊無人，,"tsím-thâu-pinn bô lâng,"
,老的和平常時相仝，,"lāu--ê hām pîng-siông-sî sio-kāng,"
,透早就出門矣。,thàu-tsá tō tshut-mn̂g --ah.
,阿福嬸共棉襀被搝過來身軀邊攬較牢的。,A-hok-tsím kā mî-tsioh-phuē khiú kuè-lâi sin-khu-pinn lám khah tiâu --ê.
,嘛毋知影啥物緣故，,"Mā m̄ tsai-iánn siánn-mih iân-kòo,"
,這幾工目睭一擘金，,"tsit kuí kang ba̍k-tsiu tsi̍t peh-kim,"
,就感覺一陣陣冷風予人寒甲起雞母皮。,tō kám-kak tsi̍t-tsūn-tsūn líng-hong hōo lâng kuânn kah khí ke-bó-phuê.
,「這款天，,"“Tsit khuán thinn,"
,也毋知福仔敢有加穿一領較厚的衫無？」,iā m̄ tsai Hok-á kám ū ke tshīng tsi̍t niá khah kāu ê sann --bô?”
,踅踅唸無偌久，,"Se̍h-se̍h-liām bô-guā-kú,"
,掛心翁婿的阿福嬸免不了又閣怨嘆查埔人做了十外冬的彼間食品廠的頭家。,khuà-sim ang-sài ê A-hok-tsím bián-put-liáu iū-koh uàn-thàn tsa-poo-lâng tsò liáu tsa̍p guā tang ê hit king si̍t-phín tshiúnn ê thâu-ke.
,過年過節就講景氣䆀、無獎金，,"Kuè-nî kuè-tseh tō kóng kíng-khì bái, bô tsióng-kim,"
,最近這幾個月煞叫人逐工七早八早去加班？,tsuè-kīn tsit kuí kò gue̍h suah kiò lâng ta̍k kang tshit-tsá-peh-tsá khì ka-pan?
,害一个六十幾歲的老大人天未光就愛出門。,Hāi tsi̍t ê la̍k-tsa̍p kuí huè ê lāu-tuā-lâng thinn buē kng tō ài tshut-mn̂g.
,想著天遮爾冷，,"Siūnn-tio̍h thinn tsiah-nī líng,"
,閣想起往工廠彼條小路的路燈不時遮歹遐歹，,"koh siūnn-khí óng kang-tshiúnn hit tiâu sió-lōo ê lōo-ting put-sî tsia pháinn hia pháinn,"
,定定嘛出車禍，,"tiānn-tiānn mā tshut tshia-hō,"
,前兩工仔猶聽人講起路口有人騎機車予thoo-lá-khuh軋死，,"tsîng nn̄g kang-á iáu thiann lâng kóng-khí lōo-kháu ū lâng khiâ ki-tshia hōo thoo-lá-khuh kauh--sí,"
,愈想愈毋甘愈煩惱的阿福嬸氣甲喙齒根直直咬：,jú siūnn jú m̄-kam jú huân-ló ê A-hok-tsím khì kah tshuì-khí-kin ti̍t-ti̍t kā:
,「頭家人哪會攏遮爾無天良？」,“Thâu-ke-lâng ná ē lóng tsiah-nī bô thian-liông?”
